,Test Data,Predicted Price,Difference,C
201,15.9,15.886281310974583,0.013718689025417063,1.0
202,11.0,11.011162097972488,0.011162097972487572,1.0
203,14.5,14.48523813566325,0.014761864336749753,1.0
204,12.0,11.90688138580572,0.09311861419427991,1.0
205,14.8,14.805484354549414,0.005484354549412984,0.0
206,16.7,16.607068054262545,0.09293194573745467,1.0
207,16.3,16.23739943788833,0.06260056211166898,1.0
208,11.0,11.006843559450449,0.006843559450448566,0.0
209,17.0,16.982130449607165,0.017869550392834554,1.0
210,15.8,15.689615190420266,0.11038480957973462,1.0
211,14.8,14.803521721644136,0.003521721644135667,0.0
212,17.0,16.964548548359005,0.035451451640994947,1.0
213,13.1,13.103901262550322,0.00390126255032186,0.0
214,16.8,16.80738514116626,0.007385141166260212,0.0
215,16.2,16.20272227459181,0.002722274591810958,0.0
216,12.0,11.935709905122929,0.06429009487707127,1.0
217,10.9,10.905931945110678,0.005931945110678072,0.0
218,16.7,16.62976639694712,0.07023360305288051,1.0
219,15.6,15.583016079911628,0.016983920088371462,1.0
220,15.9,16.04738872461958,0.14738872461957975,1.0
221,16.2,16.340755077026728,0.14075507702672851,1.0
222,14.5,14.528405627019195,0.028405627019195023,1.0
223,16.7,16.638583178757578,0.061416821242421094,1.0
224,12.0,11.994776286969891,0.005223713030108712,0.0
225,16.2,16.143785980709428,0.05621401929057157,1.0
226,15.8,15.805647664676256,0.005647664676255104,0.0
227,16.4,16.383891403586478,0.01610859641352036,1.0
228,16.7,16.48257651308,0.2174234869199978,1.0
229,15.6,15.578820586749215,0.021179413250784762,1.0
230,16.4,16.39847118323658,0.001528816763418206,0.0
231,17.0,17.069129539864356,0.0691295398643561,1.0
232,16.4,16.46989581725498,0.06989581725498084,1.0
233,17.0,16.984622326452676,0.015377673547323667,1.0
234,14.8,14.841331710530486,0.041331710530485566,1.0
235,16.2,16.23217596063452,0.03217596063452177,1.0
236,14.5,14.50352356525818,0.0035235652581793175,0.0
237,14.8,14.791026903253298,0.008973096746702325,0.0
238,16.4,16.405812475988412,0.005812475988413723,0.0
239,16.2,16.2205561103373,0.020556110337299316,1.0
240,16.8,16.817097469296172,0.017097469296171397,1.0
241,16.7,16.720418621082366,0.02041862108236714,1.0
